date,sum,field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14
2019/1/1,902076 ,21938 ,21399 ,68759 ,58618 ,235357 ,165265 ,20126 ,16732 ,88403 ,19601 ,24893 ,61213 ,98028 ,1744
2019/2/1,643633 ,14750 ,15662 ,48584 ,37774 ,160876 ,104855 ,15398 ,14937 ,68834 ,15885 ,18320 ,39162 ,85491 ,3105
2019/3/1,920485 ,23084 ,26121 ,67977 ,64041 ,223616 ,155903 ,20752 ,18327 ,86558 ,24835 ,30244 ,54006 ,112490 ,12531
2019/4/1,940268 ,23186 ,26479 ,62001 ,55328 ,220978 ,152504 ,30675 ,53518 ,116565 ,33395 ,22389 ,26606 ,61594 ,55050
2019/5/1,917921 ,22389 ,26606 ,61594 ,55050 ,202704 ,147298 ,19275 ,17957 ,84277 ,25089 ,34260 ,53078 ,109864 ,58480
2019/6/1,1333413 ,38191 ,36917 ,90732 ,74931 ,266438 ,200112 ,31623 ,24702 ,126855 ,42139 ,64927 ,74132 ,169602 ,92112
2019/7/1,814613 ,23425 ,23098 ,66549 ,47942 ,155190 ,109449 ,20326 ,19842 ,82749 ,27560 ,38212 ,42948 ,113466 ,43857
2019/8/1,955821 ,31363 ,27121 ,79211 ,67123 ,188587 ,135353 ,26543 ,23840 ,102474 ,32021 ,44338 ,47382 ,123372 ,27093
2019/9/1,959021 ,29533 ,28704 ,77296 ,69737 ,191556 ,142831 ,26218 ,22735 ,100095 ,33588 ,40515 ,62114 ,119840 ,14259
2019/10/1,1150587 ,33783 ,35902 ,81002 ,74568 ,238294 ,176515 ,30439 ,26085 ,119710 ,35528 ,46816 ,101467 ,140875 ,9603
2019/11/1,1517833 ,46568 ,49241 ,100299 ,87694 ,326745 ,234030 ,38383 ,29093 ,143823 ,44464 ,67505 ,147510 ,194140 ,8338
2019/12/1,1024149 ,30763 ,29563 ,77030 ,66241 ,220222 ,153575 ,27015 ,24458 ,103806 ,27257 ,35042 ,104157 ,121994 ,3026
2020/1/1,1258315 ,46572 ,31436 ,87931 ,96940 ,274872 ,204486 ,31385 ,29871 ,123396 ,30753 ,36985 ,87700 ,171238 ,4750
2020/2/1,1692033 ,56542 ,52075 ,120810 ,117038 ,370701 ,276045 ,53546 ,40647 ,151708 ,35491 ,62963 ,127712 ,212732 ,14023
2020/3/1,1482496 ,57721 ,51876 ,101833 ,93920 ,294719 ,212985 ,48512 ,38062 ,144281 ,39444 ,55991 ,110027 ,199040 ,34085
2020/4/1,1523695 ,54674 ,48015 ,104005 ,97932 ,319202 ,228308 ,46485 ,34867 ,134644 ,40022 ,56495 ,113787 ,187808 ,57451
2020/5/1,1428155 ,52621 ,45247 ,104497 ,87801 ,247067 ,193034 ,40185 ,35396 ,136972 ,41318 ,63333 ,97049 ,178417 ,105218
2020/6/1,2095932 ,69206 ,73880 ,131062 ,134147 ,311264 ,279248 ,63770 ,85173 ,191159 ,72563 ,107579 ,134465 ,291430 ,150986
